"Count","Name"
"1069",".toe"
"875",".jpg"
"565",".png"
"178",".bak"
"173",".webp"
"76",".pdf"
"68",".wav"
"55",".py"
"53",".tif"
"53",".jpeg"
"50",".csv"
"36",".mp4"
"35",".ogg"
"25",".svg"
"25",".json"
"25",".tsv"
"25",".tox"
"22",".mov"
"11",".html"
"9",".dmp"
"7",".dll"
"7",".zip"
"7",".tiff"
"6",".docx"
"6",".cdr"
"5",".txt"
"5",".tdc"
"5",".ino"
"4",".exe"
"4",".ai"
"3",""
"3",".inf"
"3",".xml"
"3",".pyc"
"3",".cat"
"3",".mp3"
"3",".css"
"3",".js"
"3",".twb"
"3",".xlsx"
"2",".stl"
"2",".lnk"
"2",".m4a"
"2",".pages"
"2",".gz"
"1",".fbx"
"1",".x"
"1",".wrl"
"1",".ds_store"
"1",".sys"
"1",".tog"
"1",".pdb"
"1",".dat"
"1",".dxf"
"1",".sqlite"
"1",".obj"
"1",".mid"
"1",".mtl"
"1",".bullet"
"1",".3ds"
"1",".c4d"
"1",".dae"
"1",".htm"
