"relative_path","full_path","name","extension","size_bytes","modified_utc","created_utc","sha256"
"multi_beamer_mapping_1.2.tox","P:\DIGITAL MEDIA\MASTER THESIS\multi_beamer_mapping_1.2.tox","multi_beamer_mapping_1.2.tox",".tox","198046","2024-11-03T10:57:20.0000000Z","2024-11-03T10:57:20.0000000Z",""
"OpenCV_red.lnk","P:\DIGITAL MEDIA\MASTER THESIS\OpenCV_red.lnk","OpenCV_red.lnk",".lnk","830","2026-02-18T10:37:17.0000000Z","2026-02-18T10:37:17.0000000Z",""
"Theoretical Framework and Research Questions for __umbra__.docx","P:\DIGITAL MEDIA\MASTER THESIS\Theoretical Framework and Research Questions for __umbra__.docx","Theoretical Framework and Research Questions for __umbra__.docx",".docx","1312662","2025-11-05T12:21:03.0000000Z","2025-11-05T12:21:02.0000000Z",""
"Thesis - plan by periods (v2).xlsx","P:\DIGITAL MEDIA\MASTER THESIS\Thesis - plan by periods (v2).xlsx","Thesis - plan by periods (v2).xlsx",".xlsx","62909","2026-02-18T23:01:44.0000000Z","2026-02-18T23:01:44.0000000Z",""
"Useful info for DM.txt","P:\DIGITAL MEDIA\MASTER THESIS\Useful info for DM.txt","Useful info for DM.txt",".txt","43440","2025-02-11T21:46:19.0000000Z","2025-02-08T18:16:57.0000000Z",""
"Master Thesis Information\.DS_Store","P:\DIGITAL MEDIA\MASTER THESIS\Master Thesis Information\.DS_Store",".DS_Store",".ds_store","8196","2025-02-11T20:23:00.0000000Z","2025-02-11T20:23:00.0000000Z",""
"Master Thesis Information\ENGLISH_MPO_Digitale_Medien-2016_ENG.pdf","P:\DIGITAL MEDIA\MASTER THESIS\Master Thesis Information\ENGLISH_MPO_Digitale_Medien-2016_ENG.pdf","ENGLISH_MPO_Digitale_Medien-2016_ENG.pdf",".pdf","139640","2025-02-11T20:23:00.0000000Z","2025-02-11T20:23:00.0000000Z",""
"Master Thesis Information\GERMAN MPO_Digitale_Medien-06-16.pdf","P:\DIGITAL MEDIA\MASTER THESIS\Master Thesis Information\GERMAN MPO_Digitale_Medien-06-16.pdf","GERMAN MPO_Digitale_Medien-06-16.pdf",".pdf","167919","2025-02-11T20:23:00.0000000Z","2025-02-11T20:23:00.0000000Z",""
"Master Thesis Information\Information_on_the_Master_Thesis.pdf","P:\DIGITAL MEDIA\MASTER THESIS\Master Thesis Information\Information_on_the_Master_Thesis.pdf","Information_on_the_Master_Thesis.pdf",".pdf","23929","2025-02-11T20:23:00.0000000Z","2025-02-11T20:23:00.0000000Z",""
"Master Thesis Information\Informationen_zur_Master Thesis_Dezernat-1.pdf","P:\DIGITAL MEDIA\MASTER THESIS\Master Thesis Information\Informationen_zur_Master Thesis_Dezernat-1.pdf","Informationen_zur_Master Thesis_Dezernat-1.pdf",".pdf","47147","2025-02-11T20:23:00.0000000Z","2025-02-11T20:23:00.0000000Z",""
"Master Thesis Information\STEP 1 Antrag auf Zulassung zur Master Thesis Digitale Medien.pdf","P:\DIGITAL MEDIA\MASTER THESIS\Master Thesis Information\STEP 1 Antrag auf Zulassung zur Master Thesis Digitale Medien.pdf","STEP 1 Antrag auf Zulassung zur Master Thesis Digitale Medien.pdf",".pdf","79819","2025-02-11T20:23:00.0000000Z","2025-02-11T20:23:00.0000000Z",""
"Master Thesis Information\STEP 1 Registration for the Master Thesis Digital Media.pdf","P:\DIGITAL MEDIA\MASTER THESIS\Master Thesis Information\STEP 1 Registration for the Master Thesis Digital Media.pdf","STEP 1 Registration for the Master Thesis Digital Media.pdf",".pdf","80001","2025-02-11T20:23:00.0000000Z","2025-02-11T20:23:00.0000000Z",""
"Master Thesis Information\STEP 2 kud_abgabe_der_masterarbeit.pdf","P:\DIGITAL MEDIA\MASTER THESIS\Master Thesis Information\STEP 2 kud_abgabe_der_masterarbeit.pdf","STEP 2 kud_abgabe_der_masterarbeit.pdf",".pdf","87547","2025-02-11T20:23:00.0000000Z","2025-02-11T20:23:00.0000000Z",""
"Software_reference\touchdesigner implementation - Ярлык.lnk","P:\DIGITAL MEDIA\MASTER THESIS\Software_reference\touchdesigner implementation - Ярлык.lnk","touchdesigner implementation - Ярлык.lnk",".lnk","1447","2025-04-29T11:52:01.0000000Z","2025-04-29T11:52:01.0000000Z",""
"Documentation\Draft installation.png","P:\DIGITAL MEDIA\MASTER THESIS\Documentation\Draft installation.png","Draft installation.png",".png","3963096","2026-02-18T19:42:31.0000000Z","2026-02-18T19:42:31.0000000Z",""
"Documentation\postcard (1).png","P:\DIGITAL MEDIA\MASTER THESIS\Documentation\postcard (1).png","postcard (1).png",".png","404861","2025-06-01T21:27:47.0000000Z","2025-06-01T21:27:45.0000000Z",""
"Documentation\postcard (3).mp4","P:\DIGITAL MEDIA\MASTER THESIS\Documentation\postcard (3).mp4","postcard (3).mp4",".mp4","2192102","2025-06-01T21:25:40.0000000Z","2025-06-01T21:25:30.0000000Z",""
"Documentation\postcard.png","P:\DIGITAL MEDIA\MASTER THESIS\Documentation\postcard.png","postcard.png",".png","146114","2025-06-01T21:26:05.0000000Z","2025-06-01T21:26:01.0000000Z",""
"Documentation\250429_earlyflightsDDVR_TD\2025-04-29 14-25-12.mp4","P:\DIGITAL MEDIA\MASTER THESIS\Documentation\250429_earlyflightsDDVR_TD\2025-04-29 14-25-12.mp4","2025-04-29 14-25-12.mp4",".mp4","53941104","2025-04-29T12:25:40.0000000Z","2025-04-29T12:25:12.0000000Z",""
"Documentation\250429_earlyflightsDDVR_TD\2025-04-29 14-29-04.mp4","P:\DIGITAL MEDIA\MASTER THESIS\Documentation\250429_earlyflightsDDVR_TD\2025-04-29 14-29-04.mp4","2025-04-29 14-29-04.mp4",".mp4","4769743","2025-04-29T12:29:30.0000000Z","2025-04-29T12:29:04.0000000Z",""
"3d Model\CLTS60WRGBW-drawing_2d--D001887-international.PDF","P:\DIGITAL MEDIA\MASTER THESIS\3d Model\CLTS60WRGBW-drawing_2d--D001887-international.PDF","CLTS60WRGBW-drawing_2d--D001887-international.PDF",".pdf","727587","2026-01-22T12:39:04.0000000Z","2026-01-22T12:39:03.0000000Z",""
"3d Model\CrashAutoSave.inthedigitalshadow.13.toe","P:\DIGITAL MEDIA\MASTER THESIS\3d Model\CrashAutoSave.inthedigitalshadow.13.toe","CrashAutoSave.inthedigitalshadow.13.toe",".toe","4231246","2026-01-21T14:01:36.0000000Z","2026-01-21T14:01:34.0000000Z",""
"3d Model\cube_sim.tox","P:\DIGITAL MEDIA\MASTER THESIS\3d Model\cube_sim.tox","cube_sim.tox",".tox","40766","2025-12-18T13:55:31.0000000Z","2025-12-18T13:55:30.0000000Z",""
"3d Model\inthedigitalshadow.143.toe","P:\DIGITAL MEDIA\MASTER THESIS\3d Model\inthedigitalshadow.143.toe","inthedigitalshadow.143.toe",".toe","1904578","2026-03-26T11:11:17.0000000Z","2026-03-26T11:08:03.0000000Z",""
"3d Model\inthedigitalshadow.60.toe","P:\DIGITAL MEDIA\MASTER THESIS\3d Model\inthedigitalshadow.60.toe","inthedigitalshadow.60.toe",".toe","4155790","2026-02-17T18:02:36.0000000Z","2026-02-17T18:02:35.0000000Z",""
"3d Model\inthedigitalshadow.toe","P:\DIGITAL MEDIA\MASTER THESIS\3d Model\inthedigitalshadow.toe","inthedigitalshadow.toe",".toe","1904578","2026-03-26T11:11:17.0000000Z","2025-12-18T13:47:11.0000000Z",""
"3d Model\null7.jpg","P:\DIGITAL MEDIA\MASTER THESIS\3d Model\null7.jpg","null7.jpg",".jpg","100061","2026-01-21T13:21:44.0000000Z","2026-01-21T13:21:43.0000000Z",""
"3d Model\snapshot.1.jpg","P:\DIGITAL MEDIA\MASTER THESIS\3d Model\snapshot.1.jpg","snapshot.1.jpg",".jpg","240438","2026-02-02T14:16:00.0000000Z","2026-02-02T14:16:00.0000000Z",""
"3d Model\snapshot.1.mov","P:\DIGITAL MEDIA\MASTER THESIS\3d Model\snapshot.1.mov","snapshot.1.mov",".mov","355803","2026-03-26T11:09:58.0000000Z","2026-03-26T11:09:54.0000000Z",""
"3d Model\snapshot.2.jpg","P:\DIGITAL MEDIA\MASTER THESIS\3d Model\snapshot.2.jpg","snapshot.2.jpg",".jpg","218163","2026-03-25T10:51:55.0000000Z","2026-03-25T10:51:55.0000000Z",""
"3d Model\snapshot.2.mov","P:\DIGITAL MEDIA\MASTER THESIS\3d Model\snapshot.2.mov","snapshot.2.mov",".mov","14290165","2026-03-26T11:11:07.0000000Z","2026-03-26T11:10:05.0000000Z",""
"3d Model\snapshot.3.jpg","P:\DIGITAL MEDIA\MASTER THESIS\3d Model\snapshot.3.jpg","snapshot.3.jpg",".jpg","213824","2026-03-25T10:52:03.0000000Z","2026-03-25T10:52:03.0000000Z",""
"3d Model\snapshot.4.jpg","P:\DIGITAL MEDIA\MASTER THESIS\3d Model\snapshot.4.jpg","snapshot.4.jpg",".jpg","243251","2026-03-25T10:52:14.0000000Z","2026-03-25T10:52:14.0000000Z",""
"3d Model\test.mp4","P:\DIGITAL MEDIA\MASTER THESIS\3d Model\test.mp4","test.mp4",".mp4","19195487","2026-01-25T11:40:09.0000000Z","2026-01-25T11:39:48.0000000Z",""
"3d Model\thesis plan.png","P:\DIGITAL MEDIA\MASTER THESIS\3d Model\thesis plan.png","thesis plan.png",".png","734309","2026-02-23T18:42:42.0000000Z","2026-02-23T18:42:42.0000000Z",""
"3d Model\TouchDesignerCrash.2023.11340.1.dmp","P:\DIGITAL MEDIA\MASTER THESIS\3d Model\TouchDesignerCrash.2023.11340.1.dmp","TouchDesignerCrash.2023.11340.1.dmp",".dmp","282933","2026-01-21T14:01:36.0000000Z","2026-01-21T14:01:36.0000000Z",""
"3d Model\Transparency_Order_Independant.toe","P:\DIGITAL MEDIA\MASTER THESIS\3d Model\Transparency_Order_Independant.toe","Transparency_Order_Independant.toe",".toe","263482","2026-01-22T09:35:44.0000000Z","2026-01-22T09:35:44.0000000Z",""
"3d Model\Backup\inthedigitalshadow.1.toe","P:\DIGITAL MEDIA\MASTER THESIS\3d Model\Backup\inthedigitalshadow.1.toe","inthedigitalshadow.1.toe",".toe","2634174","2025-12-18T13:50:27.0000000Z","2025-12-18T13:50:26.0000000Z",""
"3d Model\Backup\inthedigitalshadow.10.toe","P:\DIGITAL MEDIA\MASTER THESIS\3d Model\Backup\inthedigitalshadow.10.toe","inthedigitalshadow.10.toe",".toe","4058668","2026-01-07T09:40:16.0000000Z","2026-01-07T09:40:14.0000000Z",""
"3d Model\Backup\inthedigitalshadow.100.toe","P:\DIGITAL MEDIA\MASTER THESIS\3d Model\Backup\inthedigitalshadow.100.toe","inthedigitalshadow.100.toe",".toe","1891730","2026-02-19T12:25:29.0000000Z","2026-02-19T12:25:28.0000000Z",""
"3d Model\Backup\inthedigitalshadow.101.toe","P:\DIGITAL MEDIA\MASTER THESIS\3d Model\Backup\inthedigitalshadow.101.toe","inthedigitalshadow.101.toe",".toe","1911522","2026-02-19T12:25:51.0000000Z","2026-02-19T12:25:49.0000000Z",""
"3d Model\Backup\inthedigitalshadow.102.toe","P:\DIGITAL MEDIA\MASTER THESIS\3d Model\Backup\inthedigitalshadow.102.toe","inthedigitalshadow.102.toe",".toe","1910818","2026-02-19T12:32:04.0000000Z","2026-02-19T12:32:03.0000000Z",""
"3d Model\Backup\inthedigitalshadow.103.toe","P:\DIGITAL MEDIA\MASTER THESIS\3d Model\Backup\inthedigitalshadow.103.toe","inthedigitalshadow.103.toe",".toe","1728418","2026-02-19T13:23:15.0000000Z","2026-02-19T13:23:15.0000000Z",""
