target_name,date,new_files,new_bytes,new_backup_like_files,modified_files,modified_backup_like_files,cumulative_known_files,cumulative_known_bytes,current_snapshot_total_files,current_snapshot_total_bytes
UMBRA,2024-07-07,1,25774,0,0,0,1,25774,1910,16864529033
UMBRA,2024-11-16,1,120360,0,0,0,2,146134,1910,16864529033
UMBRA,2024-12-24,5,274347,0,0,0,7,420481,1910,16864529033
UMBRA,2025-07-11,1,366740,0,0,0,8,787221,1910,16864529033
UMBRA,2025-07-15,7,411201,0,0,0,15,1198422,1910,16864529033
UMBRA,2025-07-23,2,171179032,0,0,0,17,172377454,1910,16864529033
UMBRA,2025-08-05,2,5926669,0,0,0,19,178304123,1910,16864529033
UMBRA,2025-08-11,1,5569116,0,0,0,20,183873239,1910,16864529033
UMBRA,2025-08-29,15,60467352,0,0,0,35,244340591,1910,16864529033
UMBRA,2025-08-30,3,25775158,0,0,0,38,270115749,1910,16864529033
UMBRA,2025-08-31,3,26063182,0,0,0,41,296178931,1910,16864529033
UMBRA,2025-09-01,98,114032244,0,0,0,139,410211175,1910,16864529033
UMBRA,2025-09-02,2,7442490,0,0,0,141,417653665,1910,16864529033
UMBRA,2025-09-04,23,15806922,0,0,0,164,433460587,1910,16864529033
UMBRA,2025-09-07,88,178699100,0,0,0,252,612159687,1910,16864529033
UMBRA,2025-09-08,10,33485424,0,0,0,262,645645111,1910,16864529033
UMBRA,2025-09-09,39,254050867,0,20,0,301,899695978,1910,16864529033
UMBRA,2025-09-10,43,293110583,0,42,0,344,1192806561,1910,16864529033
UMBRA,2025-09-11,19,123175476,0,20,0,363,1315982037,1910,16864529033
UMBRA,2025-09-12,9,51511878,0,7,0,372,1367493915,1910,16864529033
UMBRA,2025-09-14,2,45944,0,0,0,374,1367539859,1910,16864529033
UMBRA,2025-09-24,2,15156121,0,0,0,376,1382695980,1910,16864529033
UMBRA,2025-09-28,8,432696,0,1,0,384,1383128676,1910,16864529033
UMBRA,2025-09-29,73,5292994,0,3,0,457,1388421670,1910,16864529033
UMBRA,2025-10-02,14,2987734,0,2,0,471,1391409404,1910,16864529033
UMBRA,2025-10-03,4,5898542,0,2,0,475,1397307946,1910,16864529033
UMBRA,2025-10-05,6,512540,0,0,0,481,1397820486,1910,16864529033
