target_name,date,new_files,new_bytes,new_backup_like_files,modified_files,modified_backup_like_files,cumulative_known_files,cumulative_known_bytes,current_snapshot_total_files,current_snapshot_total_bytes
UMBRA,2025-08-05,1,5771180,0,0,0,1,5771180,499,1711229418
UMBRA,2025-08-11,1,5569116,0,0,0,2,11340296,499,1711229418
UMBRA,2025-08-29,7,58866484,0,0,0,9,70206780,499,1711229418
UMBRA,2025-08-30,3,25775158,0,0,0,12,95981938,499,1711229418
UMBRA,2025-08-31,3,26063182,0,0,0,15,122045120,499,1711229418
UMBRA,2025-09-01,8,60154414,0,0,0,23,182199534,499,1711229418
UMBRA,2025-09-02,1,7069460,0,0,0,24,189268994,499,1711229418
UMBRA,2025-09-04,1,7069052,0,0,0,25,196338046,499,1711229418
UMBRA,2025-09-07,20,141832896,0,0,0,45,338170942,499,1711229418
UMBRA,2025-09-08,4,29021152,0,0,0,49,367192094,499,1711229418
UMBRA,2025-09-09,36,253802406,0,20,0,85,620994500,499,1711229418
UMBRA,2025-09-10,42,293105636,0,41,0,127,914100136,499,1711229418
UMBRA,2025-09-11,19,123175476,0,20,0,146,1037275612,499,1711229418
UMBRA,2025-09-12,8,51505312,0,7,0,154,1088780924,499,1711229418
UMBRA,2025-09-24,1,3771456,0,0,0,155,1092552380,499,1711229418
UMBRA,2025-09-28,8,432696,0,1,0,163,1092985076,499,1711229418
UMBRA,2025-09-29,73,5292994,0,3,0,236,1098278070,499,1711229418
UMBRA,2025-10-02,14,2987734,0,2,0,250,1101265804,499,1711229418
UMBRA,2025-10-03,4,5898542,0,2,0,254,1107164346,499,1711229418
UMBRA,2025-10-05,6,512540,0,0,0,260,1107676886,499,1711229418
UMBRA,2025-10-06,18,1590444,0,1,0,278,1109267330,499,1711229418
UMBRA,2025-10-13,0,0,0,1,0,278,1109267330,499,1711229418
UMBRA,2025-10-16,13,10814734,0,3,0,291,1120082064,499,1711229418
UMBRA,2025-10-17,2,889688,0,1,0,293,1120971752,499,1711229418
UMBRA,2025-10-20,6,3213336,0,1,0,299,1124185088,499,1711229418
UMBRA,2025-10-24,1,1440334,1,0,0,300,1125625422,499,1711229418
UMBRA,2025-10-26,6,15933620,0,6,0,306,1141559042,499,1711229418
UMBRA,2025-10-30,4,10581424,0,1,0,310,1152140466,499,1711229418
UMBRA,2025-11-01,1,2748850,1,1,1,311,1154889316,499,1711229418
UMBRA,2025-11-03,1,2500146,0,0,0,312,1157389462,499,1711229418
UMBRA,2025-11-10,1,4199472,1,1,1,313,1161588934,499,1711229418
UMBRA,2025-11-12,0,0,0,2,0,313,1161588934,499,1711229418
UMBRA,2025-11-13,4,20129512,0,0,0,317,1181718446,499,1711229418
UMBRA,2025-11-27,41,202774972,0,42,0,358,1384493418,499,1711229418
UMBRA,2025-11-28,41,211587068,0,42,0,399,1596080486,499,1711229418
UMBRA,2025-12-06,48,25664032,0,11,0,447,1621744518,499,1711229418
UMBRA,2025-12-07,43,61558952,0,16,0,490,1683303470,499,1711229418
UMBRA,2025-12-09,9,27925948,0,7,0,499,1711229418,499,1711229418
